survey_square_id,Location,Latitude_x_min,Longitude_y_min,Number,New_number,Raw material type,Transparency,shape,texture,Structure,Length,Width,Thickness,Mass,Notes,Date,Samples,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5579,5511,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5580,5512,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5581,5513,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5582,5514,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5583,5515,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5584,5516,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5585,5517,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5586,5518,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5587,5519,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5588,5520,basalt,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5589,6878,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5590,6879,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5591,6880,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5592,6881,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5593,6882,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5594,6883,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5595,6884,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5596,6885,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5597,6886,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5598,6887,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5599,6888,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5600,6889,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5601,6890,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5602,6891,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5603,6892,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5604,6893,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5605,6894,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5606,6895,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5607,6896,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5608,6897,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5609,6898,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5610,6899,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5611,6900,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5612,6901,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5613,6902,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5614,6903,shale,,,,,,,,,,01.20.17,,"> 100 in a square, every 20th recorded"
254579,Terrestrial,672119.2582,6710446.804,5615,6904,shale,opaque,tabular,fine,homogenous,57.22,36.41,22.03,,,01.20.17,,"> 100 in a square, every 20th recorded"
