DateOfDataEntry,Square,Unit,BagNumber,ToolNumber,ToolNumber_combined,CoreClass,RawMaterial,QuartzGrain,QuartzGrainSize,QuartzPlane,OtherRaw MaterialID,CoreTypology,OverallCortexArea,CortexRoundness,CortexType,CoreArtifactClass,EvidenceBipolar,NumberCoreFaces,WhichIsPlatform,Face1CortexArea,Face1DorsalScarCount,Face1DorsalDirection,Face1ArisOrientation,Face1CoreExploitation,Face1TerminationFinalRemoval,Face1LengthOfFinalRemoval,Face1WidthOfFinalRemoval,Face1AngleOfFinalRemoval,Face1EPA_angle,Face1EPACaliper,Face1RemnantPlatformOfFinalRemoval,Face2CortexArea,Face2DorsalScarCount,Face2DorsalDirection,Face2ArisOrientation,Face2CoreExploitation,Face2TerminationFinalRemoval,Face2LengthOfFinalRemoval,Face2WidthOfFinalRemoval,Face2AngleOfFinalRemoval,Face2EPA_angle,Face2EPACaliper,Face2RemnantPlatformOfFinalRemoval,Face3CortexArea,Face3DorsalScarCount,Face3DorsalDirection,Face3ArisOrientation,Face3CoreExploitation,Face3TerminationFinalRemoval,Face3LengthOfFinalRemoval,Face3WidthOfFinalRemoval,Face3AngleOfFinalRemoval,Face3EPA_angle,Face3EPACaliper,Face3RemnantPlatformOfFinalRemoval,Face4CortexArea,Face4DorsalScarCount,Face4DorsalDirection,Face4ArisOrientation,Face4CoreExploitation,Face4TerminationFinalRemoval,Face4LengthOfFinalRemoval,Face4WidthOfFinalRemoval,Face4AngleOfFinalRemoval,Face4EPA_angle,Face3EPACaliper,Face4RemnantPlatformOfFinalRemoval,total_scar_count,CoreBlankSphericity,IntendedProduct,CoreSubTypology,ConardUnifiedType,BipolarChronology,DegreeOfKnappingAlongCircumference,MaxLength,MaxWidth,MaxThickness,Mass,OtherNotes,Photograph,Level
12.15.15,k12,64,8,1,1,regular,FineChert,,,,,Chunks<2flakescars,11-40%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,BladeBladelet,,,,,9.37,14.71,7.3,0.93,,Yes,barf
12.15.15,k12,64,8,2,2,regular,FineChert,,,,,Chunks<2flakescars,41-60%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Flake,,,,,23.9,14.76,8.81,4.16,,Yes,barf
12.15.15,k12,64,8,3,3,regular,FineChert,,,,,Chunks<2flakescars,11-40%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,16.84,10.11,7.49,1.5,,No,barf
12.15.15,k12,64,8,4,4,regular,CoarseChert,,,,,Chunks<2flakescars,61-90%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,14.6,8.73,7.25,1.04,,No,barf
12.15.15,k12,64,8,5,5,regular,CoarseChert,,,,,Chunks<2flakescars,41-60%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,10.97,6.5,3.14,0.35,,No,barf
12.15.15,k12,64,10,6,6,regular,CrystallineQuartz,Grain_Absent,,Plane_Present,,Chunks<2flakescars,61-90%,Angular,Outcrop,CompCore,Yes,Indeterminate,None,0%,3,Bidirectional,Parallel,Bipolar,Step,4.49,2.47,1.08,56.73809259,Small,Crushed,61-90%,2,Bidirectional,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,5,,Indeterminate,,,,,15.36,9.97,7.09,1.17,shows incipient use of bp with quartz crystals,Yes,barf
12.15.15,k12,64,10,7,7,regular,CrystallineQuartz,Grain_Absent,,Plane_Present,,Chunks<2flakescars,1-9%,Angular,Outcrop,,Yes,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,BladeBladelet,,,,,9.96,6.19,3.77,0.27,"one fh flake release, one possible bp",Yes,barf
12.15.15,k12,64,10,8,8,regular,CrystallineQuartz,Grain_Absent,,Plane_Present,,Chunks<2flakescars,11-40%,Angular,Outcrop,,Yes,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Flake,,,,,7.03,4.5,3.7,0.23,,No,barf
12.16.15,k12,64,22,9,9,regular,CoarseChert,Grain_Absent,,Plane_Present,,Core>2flakescars,11-40%,Angular,Outcrop,CompCore,Yes,One,None,41-60%,3,Unidirectional,Parallel,Platform,Feather,7.38,10.12,2.76,108.1429952,Small,Cortical,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,3,SphericalOrCubic,Flake,Irregularcore,Platform,,0-90,18.33,24.98,28.43,11.4,,Yes,barf
12.16.15,k12,64,22,10,10,regular,HeterogenousChert,Grain_Absent,,Plane_Present,,Core>2flakescars,11-40%,Angular,Outcrop,CompCore,Yes,One,None,0%,3,Bidirectional,Parallel,Bipolar,Hinge,16.55,5.29,1.61,77.66812991,Small,Cortical,61-90%,2,Unidirectional,Convergent,Platform,Hinge,10.42,3.48,1.73,81.71961086,Small,NotPrepared,0%,1,Indeterminate,Indeterminate,Platform,Hinge,12.08,6.93,1.35,68.03869998,Small,NotPrepared,,0,,,,,0,0,0,0,,,6,Flake,BladeBladelet,Bladeletcore,Bipolar,AfterFH,0-90,24.53,21.84,8.13,5.17,"flake with lateral edge bladelet removals, appear to be secondary to fh, fh flaking ended with steps",Yes,barf
12.16.15,k12,64,22,10,11,regular,FineChert,Grain_Absent,,Plane_Present,,Core>2flakescars,41-60%,Angular,Outcrop,CompCore,Yes,Three,Three,0%,3,Unidirectional,Parallel,Platform,Step,7.46,3.99,1.5,73.73979529,Small,NotPrepared,61-90%,2,Unidirectional,Convergent,Platform,Hinge,10.42,3.48,1.73,81.71961086,Small,NotPrepared,0%,1,Indeterminate,Indeterminate,Platform,Hinge,12.08,6.93,1.35,68.03869998,Small,NotPrepared,,0,,,,,0,0,0,0,,,6,Flake,BladeBladelet,Bladeletcore,Platform,,90-180,22.63,13.06,18.65,6.73,,Yes,barf
12.17.15,j12,64,30,11,12,regular,CrystallineQuartz,Grain_Absent,,Plane_Present,,Chunks<2flakescars,1-9%,Angular,Outcrop,,Yes,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,10.71,7.3,5.74,0.33,,No,barf
12.17.15,k13,65,32,12,13,regular,Chalcedony,,,,,Chunks<2flakescars,41-60%,Angular,Outcrop,,Inde,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Flake,,,,,17.46,21.78,13.41,5.59,,No,rfs
12.17.15,k13,65,32,13,14,regular,FineChert,,,,,Chunks<2flakescars,11-40%,Angular,Outcrop,,Inde,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Flake,,,,,12.01,7.02,6.55,0.67,,No,rf
12.17.15,k13,65,32,14,15,regular,CrystallineQuartz,Grain_Absent,,Plane_Present,,Chunks<2flakescars,61-90%,Angular,Outcrop,,Yes,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Flake,,,,,10.73,8.39,4.73,0.43,,Yes,rf
12.17.15,k12,65,32,15,16,regular,CoarseChert,Grain_Absent,,Plane_Present,,Chunks<2flakescars,11-40%,Angular,Outcrop,,Yes,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Point,,,,,15.71,12.81,13.11,1.48,,No,rf
12.17.15,k12,65,32,16,17,regular,Chalcedony,Grain_Absent,,Plane_Present,,Chunks<2flakescars,61-90%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,11.52,8.37,8.07,0.81,,No,rf
12.17.15,k12,65,32,17,18,regular,CoarseChert,Grain_Absent,,Plane_Present,,Chunks<2flakescars,61-90%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,10.92,7.53,8.12,0.53,,No,rf
12.17.15,k12,65,32,18,19,regular,FineChert,Grain_Absent,,Plane_Present,,Chunks<2flakescars,61-90%,Angular,Outcrop,,Inde,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Flake,,,,,31.68,24.06,15.25,10.07,,No,rf
12.17.15,k12,65,32,19,20,regular,Chalcedony,Grain_Absent,,Plane_Present,,Chunks<2flakescars,1-9%,Angular,Outcrop,,No,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,5.78,5.02,2.85,0.1,,No,rf
12.18.15,k13,65,36,20,21,regular,FineChert,Grain_Absent,,Plane_Present,,Chunks<2flakescars,61-90%,Angular,Outcrop,,Yes,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,0,,Indeterminate,,,,,10.63,9.02,4.14,0.63,,Yes,rf
