DateOfDataEntry,Square,Unit,BagNumber,ToolNumber,RawMaterial,QuartzGrain,QuartzGrainSize,QuartzPlane,OtherRaw MaterialID,LithicArtifactClass,HeatTreated,RetouchedPieceBlank,Completeness,CoreHammerCompleteness,EvidenceBipolarPercussion,ReboundForce,TechnicalCategory,FlakeProfile,CortexArea,PlatformCortex,CortexChatterMarks,CortexRoundness,CortexLocation,CortexType,EvidencePostDepBurning,DorsalScarCount,DorsalDirection,ArisOrientation,CrossSectionType,ProfileTwisted?,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,RetouchType,RetouchEdgeAngle,RetouchEdgeAngle_deg,RetouchAngleCaliper,UtilizationLocation,UtilizationFace,RetouchedPieceTypology,DeaconRetouchedPieceTypology,ScraperTypology,BackedToolTypology,AdzeToolTypology,SpokeshaveToolTypology,PointedToolTypology,UnifacialPointToolTypology,BifacialPointToolTypology,GroundStoneTypology,BoredstoneTypology,GroovedstoneTypology,GroundstoneaxeTypology,PeckedandgroundTypology,FlakedandgroundTypology,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,EPA angle,EPACaliper,Mass,Curvature,Curvature_deg,Notes,Photograph,Level
12.15.15,k12,64,1,2,FineChert,,,,,FlakeFrag,No,,Fragment,,No,,,,0%,,,,,,None,1,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Small,0.01,0,#DIV/0!,,No,
12.15.15,k12,64,1,1,FineChert,,,,,FlakeFrag,No,,Fragment,,No,,,,0%,,,,,,None,1,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Small,0.05,0,#DIV/0!,,No,
12.15.15,k12,64,10,40,CrystallineQuartz,Grain_Absent,,Plane_Present,,CompFlake,No,Indeterminate,Complete,,Yes,Yes,B1,Parallel,1-9%,No,No,Angular,Mesial,Outcrop,None,2,Bidirectional,Convergent,Other,No,Bipolar,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ShearedBulb,NoLip,Crushed,No,,,0,0,,,,,,,,,,,,,,,,,,,7.82,7.82,3.79,3.77,1.8,1.8,3.82,0.35,0.89,47.97812802,Small,0.09,0,180,,Yes,barf
12.15.15,k12,64,10,54,CrystallineQuartz,Grain_Absent,,Plane_Present,,CompFlake,No,Indeterminate,Complete,Complete,Yes,Yes,Other,Ovoid,1-9%,No,No,Angular,Indeterminate,Outcrop,None,1,,,Other,No,Crushed,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,,0,0,,,,,,,,,,,,,,,,,,,4.41,4.41,3.43,3.42,1.55,1.54,2.19,0.67,0,0,Small,0.01,0,180,,Yes,barf
12.15.15,k12,64,10,53,CrystallineQuartz,Grain_Absent,,Plane_Present,,CompFlake,No,Indeterminate,Complete,Complete,Yes,Yes,B1,Converging,0%,No,No,Angular,Indeterminate,Outcrop,None,3,Subradial,Indeterminate,Other,Yes,Splintered,NotPrepared,,None,No,NotExpressed,RegCurve,None,HingedBulb,NoLip,Crushed,No,,,0,0,,,,,,,,,,,,,,,,,,,5.74,5.74,4.19,3.85,1.74,1.15,4.34,0.6,1.52,74.46966796,Small,0.05,0,180,,Yes,barf
12.15.15,k12,64,10,52,CrystallineQuartz,Grain_Absent,,Plane_Present,,FlakeFrag,No,Indeterminate,Fragment,Complete,Indeterminate,No,,Converging,11-40%,,No,Angular,Indeterminate,Outcrop,None,1,,,Other,No,Splintered,,,,,,,,,,,No,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Small,0.01,0,#DIV/0!,,No,barf
12.15.15,k12,64,10,51,CrystallineQuartz,Grain_Absent,,Plane_Present,,FlakeFrag,No,Indeterminate,Fragment,Complete,No,No,,Converging,61-90%,,No,Angular,WholeDorsal,Outcrop,None,0,,,Other,No,Splintered,,,,,,,,,,,No,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Small,0.06,0,#DIV/0!,,No,barf
12.15.15,k12,64,10,50,CrystallineQuartz,Grain_Absent,,Plane_Present,,FlakeFrag,No,Indeterminate,Fragment,Complete,No,No,,Converging,0%,,No,Angular,Distal,Outcrop,None,1,,,Other,No,Splintered,,,,,,,,,,,No,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Small,0.03,0,#DIV/0!,,No,barf
12.15.15,k12,64,10,49,CrystallineQuartz,Grain_Absent,,Plane_Present,,HammerManuport,No,Indeterminate,Fragment,Complete,No,No,,Converging,100%,,No,Angular,Distal,Outcrop,None,0,,,Other,No,Splintered,,,,,,,,,,,No,,,0,0,,,,,,,,,,,,,,,,,,,5.7,0,4.53,0,1.89,0,0,0,0,0,Small,0.07,0,180,,No,barf
12.15.15,k12,64,10,48,CrystallineQuartz,Grain_Absent,,Plane_Present,,FlakeFrag,No,Indeterminate,ProxLeftLat,Complete,Yes,No,,Converging,0%,No,No,Angular,Distal,Outcrop,None,1,,,Other,No,Splintered,Indeterminate,,None,No,Lateral,RegCurve,CompleteFissure,Crushing,NoLip,OvularOrTriangular,No,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1.26,0,0,2.24,1.87,86.15211803,Small,0.02,0,#DIV/0!,,No,barf
12.15.15,k12,64,10,47,CrystallineQuartz,Grain_Absent,,Plane_Present,,CompFlake,No,Indeterminate,Complete,Complete,Yes,Yes,B1,Converging,0%,No,No,Angular,Distal,Outcrop,None,1,,,Other,No,Splintered,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,,0,0,,,,,,,,,,,,,,,,,,,6.77,6.76,5.59,5.59,1.04,1.05,4.56,0.67,1.03,54.49693485,Small,0.06,0,180,,No,barf
12.15.15,k12,64,10,46,CrystallineQuartz,Grain_Absent,,Plane_Present,,FlakeFrag,No,Indeterminate,Fragment,Complete,Indeterminate,No,,Converging,0%,,No,Angular,Distal,Outcrop,None,1,,,Other,No,Axial,,,,,,,,,,,No,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Small,0.11,0,#DIV/0!,,No,barf
12.15.15,k12,64,10,45,CrystallineQuartz,Grain_Absent,,Plane_Present,,HammerManuport,No,Indeterminate,Complete,Complete,No,No,,Converging,100%,No,No,Angular,Distal,Outcrop,None,0,,,Other,No,Axial,,,,,,,,,,,No,,,0,0,,,,,,,,,,,,,,,,,,,6.76,6.59,2.91,0,3.1,0,0,0,0,0,Small,0.11,0,180,,No,barf
12.15.15,k12,64,10,44,CrystallineQuartz,Grain_Absent,,Plane_Present,,CompFlake,No,Indeterminate,Complete,,Yes,No,B7,Converging,0%,No,No,Angular,Distal,Outcrop,None,1,,,Other,No,Axial,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,,0,0,,,,,,,,,,,,,,,,,,,8.39,8.38,4.15,4.15,2.5,2.5,2.83,0.73,1.1,57.62158749,Small,0.11,0,180,,No,barf
12.15.15,k12,64,10,43,Quartz,Grain_Absent,,Plane_Present,,CompFlake,No,Indeterminate,Complete,,Yes,Yes,B1,Converging,11-40%,No,No,Angular,Distal,Outcrop,None,2,Unidirectional,Parallel,Other,No,Splintered,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ShearedBulb,NoLip,Crushed,No,,,0,0,,,,,,,,,,,,,,,,,,,8.53,8.52,6.44,6.3,2.26,2.26,3.08,0.82,0.99,52.67082001,Small,0.16,0,180,,Yes,barf
